0,1,2
66.0,165.0,1.0
64.0,189.0,1.0
66.0,106.0,1.0
62.0,132.0,1.0
50.0,153.0,1.0
68.0,135.0,1.0
64.0,197.0,1.0
68.0,190.0,1.0
64.0,147.0,1.0
67.0,104.0,1.0
65.0,160.0,1.0
52.0,168.0,1.0
68.0,146.0,1.0
58.0,186.0,1.0
58.0,188.0,1.0
65.0,183.0,1.0
64.0,119.0,1.0
62.0,134.0,1.0
69.0,166.0,1.0
52.0,169.0,1.0
58.0,181.0,1.0
60.0,179.0,1.0
52.0,162.0,1.0
64.0,124.0,1.0
53.0,113.0,1.0
68.0,177.0,1.0
64.0,174.0,1.0
50.0,100.0,1.0
66.0,140.0,1.0
63.0,100.0,1.0
55.0,170.0,1.0
69.0,100.0,1.0
67.0,122.0,1.0
67.0,199.0,1.0
57.0,191.0,1.0
52.0,177.0,1.0
69.0,128.0,1.0
61.0,180.0,1.0
51.0,116.0,1.0
54.0,199.0,1.0
68.0,103.0,1.0
67.0,140.0,1.0
63.0,121.0,1.0
57.0,145.0,1.0
55.0,132.0,1.0
57.0,112.0,1.0
51.0,140.0,1.0
61.0,147.0,1.0
65.0,170.0,1.0
55.0,171.0,1.0
68.0,144.0,1.0
67.0,145.0,1.0
58.0,132.0,1.0
58.0,140.0,1.0
69.0,195.0,1.0
65.0,143.0,1.0
52.0,157.0,1.0
55.0,178.0,1.0
66.0,118.0,1.0
68.0,135.0,1.0
63.0,166.0,1.0
66.0,141.0,1.0
63.0,194.0,1.0
57.0,161.0,1.0
57.0,127.0,1.0
55.0,116.0,1.0
60.0,195.0,1.0
54.0,138.0,1.0
69.0,163.0,1.0
50.0,129.0,1.0
50.0,199.0,1.0
64.0,139.0,1.0
55.0,128.0,1.0
65.0,131.0,1.0
62.0,200.0,1.0
55.0,156.0,1.0
59.0,108.0,1.0
69.0,101.0,1.0
62.0,174.0,1.0
64.0,156.0,1.0
68.0,190.0,1.0
55.0,186.0,1.0
67.0,151.0,1.0
63.0,178.0,1.0
54.0,178.0,1.0
56.0,126.0,1.0
55.0,163.0,1.0
59.0,168.0,1.0
55.0,172.0,1.0
56.0,172.0,1.0
62.0,123.0,1.0
53.0,192.0,1.0
67.0,184.0,1.0
67.0,127.0,1.0
53.0,199.0,1.0
66.0,131.0,1.0
51.0,118.0,1.0
56.0,150.0,1.0
66.0,147.0,1.0
57.0,101.0,1.0
65.0,171.0,1.0
53.0,108.0,1.0
69.0,191.0,1.0
59.0,168.0,1.0
56.0,122.0,1.0
65.0,194.0,1.0
51.0,162.0,1.0
61.0,124.0,1.0
65.0,143.0,1.0
59.0,160.0,1.0
63.0,130.0,1.0
60.0,176.0,1.0
59.0,175.0,1.0
58.0,122.0,1.0
54.0,152.0,1.0
53.0,193.0,1.0
58.0,140.0,1.0
55.0,200.0,1.0
53.0,152.0,1.0
50.0,111.0,1.0
56.0,181.0,1.0
57.0,103.0,1.0
50.0,197.0,1.0
64.0,174.0,1.0
52.0,123.0,1.0
63.0,178.0,1.0
64.0,144.0,1.0
53.0,138.0,1.0
52.0,100.0,1.0
66.0,115.0,1.0
65.0,189.0,1.0
52.0,165.0,1.0
66.0,152.0,1.0
58.0,195.0,1.0
62.0,131.0,1.0
68.0,185.0,1.0
59.0,121.0,1.0
51.0,151.0,1.0
65.0,147.0,1.0
59.0,128.0,1.0
66.0,159.0,1.0
53.0,142.0,1.0
61.0,101.0,1.0
68.0,166.0,1.0
64.0,146.0,1.0
56.0,122.0,1.0
53.0,160.0,1.0
55.0,128.0,1.0
53.0,151.0,1.0
61.0,147.0,1.0
51.0,114.0,1.0
60.0,189.0,1.0
59.0,168.0,1.0
63.0,106.0,1.0
50.0,113.0,1.0
56.0,162.0,1.0
59.0,181.0,1.0
69.0,198.0,1.0
57.0,162.0,1.0
66.0,134.0,1.0
64.0,147.0,1.0
56.0,188.0,1.0
62.0,100.0,1.0
62.0,193.0,1.0
52.0,143.0,1.0
54.0,103.0,1.0
56.0,184.0,1.0
62.0,173.0,1.0
58.0,163.0,1.0
50.0,176.0,1.0
62.0,133.0,1.0
62.0,136.0,1.0
62.0,145.0,1.0
66.0,193.0,1.0
67.0,144.0,1.0
60.0,197.0,1.0
67.0,188.0,1.0
66.0,113.0,1.0
61.0,173.0,1.0
58.0,195.0,1.0
62.0,199.0,1.0
51.0,191.0,1.0
57.0,159.0,1.0
59.0,149.0,1.0
58.0,137.0,1.0
51.0,134.0,1.0
55.0,192.0,1.0
66.0,132.0,1.0
58.0,131.0,1.0
66.0,166.0,1.0
50.0,196.0,1.0
54.0,196.0,1.0
60.0,189.0,1.0
69.0,189.0,1.0
69.0,158.0,1.0
63.0,147.0,1.0
60.0,158.0,1.0
67.0,116.0,1.0
56.0,120.0,1.0
62.0,200.0,1.0
69.0,127.0,1.0
52.0,149.0,1.0
50.0,157.0,1.0
65.0,121.0,1.0
67.0,136.0,1.0
68.0,182.0,1.0
59.0,110.0,1.0
53.0,151.0,1.0
58.0,134.0,1.0
54.0,125.0,1.0
62.0,145.0,1.0
