0,1,2
62.0,16.0,1.0
52.0,27.0,1.0
52.0,97.0,1.0
63.0,98.0,1.0
67.0,32.0,1.0
59.0,94.0,1.0
58.0,85.0,1.0
56.0,84.0,1.0
59.0,4.0,1.0
67.0,69.0,1.0
50.0,51.0,1.0
58.0,13.0,1.0
58.0,15.0,1.0
66.0,96.0,1.0
58.0,34.0,1.0
70.0,79.0,1.0
55.0,46.0,1.0
63.0,55.0,1.0
62.0,91.0,1.0
57.0,24.0,1.0
53.0,19.0,1.0
54.0,32.0,1.0
63.0,22.0,1.0
68.0,15.0,1.0
54.0,43.0,1.0
55.0,44.0,1.0
60.0,51.0,1.0
58.0,51.0,1.0
50.0,96.0,1.0
70.0,58.0,1.0
56.0,44.0,1.0
55.0,71.0,1.0
67.0,94.0,1.0
59.0,91.0,1.0
69.0,43.0,1.0
58.0,81.0,1.0
58.0,45.0,1.0
56.0,74.0,1.0
67.0,90.0,1.0
62.0,82.0,1.0
60.0,15.0,1.0
69.0,100.0,1.0
59.0,20.0,1.0
56.0,31.0,1.0
68.0,68.0,1.0
58.0,91.0,1.0
50.0,22.0,1.0
70.0,81.0,1.0
55.0,77.0,1.0
63.0,40.0,1.0
51.0,23.0,1.0
67.0,23.0,1.0
56.0,29.0,1.0
56.0,22.0,1.0
60.0,26.0,1.0
51.0,24.0,1.0
58.0,73.0,1.0
55.0,71.0,1.0
64.0,3.0,1.0
53.0,77.0,1.0
61.0,39.0,1.0
54.0,98.0,1.0
58.0,47.0,1.0
52.0,60.0,1.0
67.0,39.0,1.0
67.0,73.0,1.0
69.0,16.0,1.0
66.0,59.0,1.0
65.0,54.0,1.0
61.0,57.0,1.0
55.0,35.0,1.0
57.0,92.0,1.0
60.0,39.0,1.0
64.0,11.0,1.0
56.0,66.0,1.0
53.0,91.0,1.0
53.0,6.0,1.0
69.0,65.0,1.0
58.0,25.0,1.0
59.0,41.0,1.0
62.0,14.0,1.0
66.0,49.0,1.0
54.0,98.0,1.0
70.0,27.0,1.0
50.0,8.0,1.0
60.0,52.0,1.0
69.0,44.0,1.0
54.0,50.0,1.0
68.0,41.0,1.0
62.0,94.0,1.0
62.0,48.0,1.0
52.0,4.0,1.0
63.0,48.0,1.0
52.0,82.0,1.0
57.0,97.0,1.0
